reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R07493,24-Methylenecholesterol + NADPH + H+ <=> Campesterol + NADP+,C15781 + C00005 + C00080 <=> C01789 + C00006,24-Methylenecholesterol + NADPH + H+ <=> Campesterol + NADP+,['1.3.1.-'],C15781;C00005;C00080,C01789;C00006,1.0;1.0;1.0,1.0;1.0
R07494,4alpha-Methylzymosterol-4-carboxylate + NADP+ <=> 3-Keto-4-methylzymosterol + NADPH + H+ + CO2,C15808 + C00006 <=> C15816 + C00005 + C00080 + C00011,4alpha-Methylzymosterol-4-carboxylate + NADP+ <=> 3-Keto-4-methylzymosterol + NADPH + H+ + CO2,['1.1.1.170'],C15808;C00006,C15816;C00005;C00080;C00011,1.0;1.0,1.0;1.0;1.0;1.0
R07495,4alpha-methylzymosterol:NADP+ 3-oxidoreductase; 3-Keto-4-methylzymosterol + NADPH + H+ <=> 4alpha-Methylzymosterol + NADP+,C15816 + C00005 + C00080 <=> C05103 + C00006,3-Keto-4-methylzymosterol + NADPH + H+ <=> 4alpha-Methylzymosterol + NADP+,['1.1.1.270'],C15816;C00005;C00080,C05103;C00006,1.0;1.0;1.0,1.0;1.0
R07497,Fecosterol <=> Episterol,C04525 <=> C15777,Fecosterol <=> Episterol,,C04525,C15777,1.0,1.0
R07498,Zymosterol + NADPH + H+ <=> 5alpha-Cholest-8-en-3beta-ol + NADP+,C05437 + C00005 + C00080 <=> C03845 + C00006,Zymosterol + NADPH + H+ <=> 5alpha-Cholest-8-en-3beta-ol + NADP+,['1.3.1.72'],C05437;C00005;C00080,C03845;C00006,1.0;1.0;1.0,1.0;1.0
R07499,"14-Demethyllanosterol + NADPH + H+ <=> 4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol + NADP+",C05108 + C00005 + C00080 <=> C15915 + C00006,"14-Demethyllanosterol + NADPH + H+ <=> 4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol + NADP+",['1.3.1.72'],C05108;C00005;C00080,C15915;C00006,1.0;1.0;1.0,1.0;1.0
R07500,phytyl-diphosphate:homogentisate phytyltransferase (decarboxylating); Phytyl diphosphate + Homogentisate <=> 2-Methyl-6-phytylquinol + Diphosphate + CO2,C05427 + C00544 <=> C15882 + C00013 + C00011,Phytyl diphosphate + Homogentisate <=> 2-Methyl-6-phytylquinol + Diphosphate + CO2,['2.5.1.115'],C05427;C00544,C15882;C00013;C00011,1.0;1.0,1.0;1.0;1.0
R07501,"S-adenosyl-L-methionine:2-methyl-6-phytyl-1,4-benzoquinol C3-methyltransferase; 2-Methyl-6-phytylquinol + S-Adenosyl-L-methionine <=> 2,3-Dimethyl-5-phytylquinol + S-Adenosyl-L-homocysteine",C15882 + C00019 <=> C15883 + C00021,"2-Methyl-6-phytylquinol + S-Adenosyl-L-methionine <=> 2,3-Dimethyl-5-phytylquinol + S-Adenosyl-L-homocysteine",['2.1.1.295'],C15882;C00019,C15883;C00021,1.0;1.0,1.0;1.0
R07502,"gamma-tocopherol lyase (decyclizing); 2,3-Dimethyl-5-phytylquinol <=> gamma-Tocopherol",C15883 <=> C02483,"2,3-Dimethyl-5-phytylquinol <=> gamma-Tocopherol",['5.5.1.24'],C15883,C02483,1.0,1.0
R07503,delta-tocopherol lyase (decyclizing); 2-Methyl-6-phytylquinol <=> delta-Tocopherol,C15882 <=> C14151,2-Methyl-6-phytylquinol <=> delta-Tocopherol,['5.5.1.24'],C15882,C14151,1.0,1.0
R07504,S-adenosyl-L-methionine:delta-tocopherol 5-O-methyltransferase; delta-Tocopherol + S-Adenosyl-L-methionine <=> beta-Tocopherol + S-Adenosyl-L-homocysteine,C14151 + C00019 <=> C14152 + C00021,delta-Tocopherol + S-Adenosyl-L-methionine <=> beta-Tocopherol + S-Adenosyl-L-homocysteine,['2.1.1.95'],C14151;C00019,C14152;C00021,1.0;1.0,1.0;1.0
R07506,"ergosta-5,7,24(28)-trien-3beta-ol,NADPH:oxygen oxidoreductase (22,23-dehydrogenating); 5-Dehydroepisterol + NADPH + H+ + Oxygen <=> Ergosta-5,7,22,24(28)-tetraen-3beta-ol + NADP+ + 2 H2O",C15780 + C00005 + C00080 + C00007 <=> C05440 + C00006 + 2 C00001,"5-Dehydroepisterol + NADPH + H+ + Oxygen <=> Ergosta-5,7,22,24(28)-tetraen-3beta-ol + NADP+ + 2 H2O",['1.14.19.41'],C15780;C00005;C00080;C00007,C05440;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;2.0
R07507,7-Dehydrodesmosterol + NADPH + H+ <=> 7-Dehydrocholesterol + NADP+,C05107 + C00005 + C00080 <=> C01164 + C00006,7-Dehydrodesmosterol + NADPH + H+ <=> 7-Dehydrocholesterol + NADP+,['1.3.1.72'],C05107;C00005;C00080,C01164;C00006,1.0;1.0;1.0,1.0;1.0
R07508,beta-Tocopherol <=> alpha-Tocopherol,C14152 <=> C02477,beta-Tocopherol <=> alpha-Tocopherol,,C14152,C02477,1.0,1.0
R07509,"14-demethyllanosterol,ferrocytochrome-b5:oxygen oxidoreductase (hydroxylating); 14-Demethyllanosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Methylzymosterol-4-carboxylate + 6 Ferricytochrome b5 + 4 H2O",C05108 + 6 C00999 + 3 C00007 + 6 C00080 <=> C15808 + 6 C00996 + 4 C00001,14-Demethyllanosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Methylzymosterol-4-carboxylate + 6 Ferricytochrome b5 + 4 H2O,['1.14.18.9'],C05108;C00999;C00007;C00080,C15808;C00996;C00001,1.0;6.0;3.0;6.0,1.0;6.0;4.0
R07510,"15-cis-Phytoene <=> 9,9'-dicis-zeta-Carotene",C05421 <=> C15857,"15-cis-Phytoene <=> 9,9'-dicis-zeta-Carotene",['1.14.99.-'],C05421,C15857,1.0,1.0
R07511,"9,9'-dicis-zeta-carotene:quinone oxidoreductase; 9,9'-dicis-zeta-Carotene + 2 Quinone <=> 7,9,7',9'-tetracis-Lycopene + 2 Hydroquinone",C15857 + 2 C15602 <=> C15858 + 2 C15603,"9,9'-dicis-zeta-Carotene + 2 Quinone <=> 7,9,7',9'-tetracis-Lycopene + 2 Hydroquinone",['1.3.5.6'],C15857;C15602,C15858;C15603,1.0;2.0,1.0;2.0
