reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R00092,Fe2+:NAD+ oxidoreductase; NADH:Fe3+ oxidoreductase; NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+,C00003 + 2 C14818 <=> C00004 + C00080 + 2 C14819,NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+,['1.16.1.7'],C00003;C14818,C00004;C00080;C14819,1.0;2.0,1.0;1.0;2.0
R00093,L-glutamate:NAD+ oxidoreductase (transaminating); 2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+,2 C00025 + C00003 <=> C00064 + C00026 + C00004 + C00080,2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+,['1.4.1.14'],C00025;C00003,C00064;C00026;C00004;C00080,2.0;1.0,1.0;1.0;1.0;1.0
R00094,glutathione:NAD+ oxidoreductase; 2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+,2 C00051 + C00003 <=> C00127 + C00004 + C00080,2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+,['1.8.1.7'],C00051;C00003,C00127;C00004;C00080,2.0;1.0,1.0;1.0;1.0
R00095,NADH:monodehydroascorbate oxidoreductase; NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+,C00003 + 2 C00072 <=> C00004 + 2 C01041 + C00080,NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+,['1.6.5.4'],C00003;C00072,C00004;C01041;C00080,1.0;2.0,1.0;2.0;1.0
R00097,Cob(II)alamin <=> Aquacob(III)alamin,C00541 <=> C00992,Cob(II)alamin <=> Aquacob(III)alamin,,C00541,C00992,1.0,1.0
R00099,Cob(I)alamin <=> Cob(II)alamin,C00853 <=> C00541,Cob(I)alamin <=> Cob(II)alamin,,C00853,C00541,1.0,1.0
R00100,NADH:ferricytochrome-b5 oxidoreductase; NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+,C00004 + 2 C00996 <=> C00003 + 2 C00999 + C00080,NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+,['1.6.2.2'],C00004;C00996,C00003;C00999;C00080,1.0;2.0,1.0;2.0;1.0
R00101,NADH:ferrileghemoglobin oxidoreductase; NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+,C00004 + 2 C02683 <=> C00003 + 2 C02685 + C00080,NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+,['1.6.2.6'],C00004;C02683,C00003;C02685;C00080,1.0;2.0,1.0;2.0;1.0
R00102,NAD+ glycohydrolase; NAD+ + H2O <=> Nicotinamide + ADP-ribose,C00003 + C00001 <=> C00153 + C00301,NAD+ + H2O <=> Nicotinamide + ADP-ribose,"['3.2.2.5', ' 3.2.2.6', ' 3.5.1.-']",C00003;C00001,C00153;C00301,1.0;1.0,1.0;1.0
R00103,NAD+ phosphohydrolase; NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide,C00003 + C00001 <=> C00020 + C00455,NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide,"['3.6.1.9', ' 3.6.1.22']",C00003;C00001,C00020;C00455,1.0;1.0,1.0;1.0
R00104,ATP:NAD+ 2'-phosphotransferase; ATP + NAD+ <=> ADP + NADP+,C00002 + C00003 <=> C00008 + C00006,ATP + NAD+ <=> ADP + NADP+,['2.7.1.23'],C00002;C00003,C00008;C00006,1.0;1.0,1.0;1.0
R00105,ATP:NADH 2'-phosphotransferase; ATP + NADH <=> ADP + NADPH,C00002 + C00004 <=> C00008 + C00005,ATP + NADH <=> ADP + NADPH,['2.7.1.86'],C00002;C00004,C00008;C00005,1.0;1.0,1.0;1.0
R00106,NADPH:ferricytochrome oxidoreductase; NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+,C00005 + 2 C00923 <=> C00006 + 2 C00924 + C00080,NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+,['1.6.2.4'],C00005;C00923,C00006;C00924;C00080,1.0;2.0,1.0;2.0;1.0
R00108,NADPH:ferricytochrome-c2 oxidoreductase; NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+,C00005 + 2 C00997 <=> C00006 + 2 C01000 + C00080,NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+,['1.6.2.5'],C00005;C00997,C00006;C01000;C00080,1.0;2.0,1.0;2.0;1.0
R00109,NADPH:ferrileghemoglobin oxidoreductase; NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+,C00005 + 2 C02683 <=> C00006 + 2 C02685 + C00080,NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+,['1.6.2.6'],C00005;C02683,C00006;C02685;C00080,1.0;2.0,1.0;2.0;1.0
R00111,"N-(omega)-hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming); NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O",C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001,NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O,['1.14.13.39'],C00005;C05933;C00007;C00080,C00006;C00533;C00327;C00001,1.0;2.0;2.0;1.0,1.0;2.0;2.0;2.0
R00112,NADPH:NAD+ oxidoreductase; NADPH + NAD+ <=> NADP+ + NADH,C00005 + C00003 <=> C00006 + C00004,NADPH + NAD+ <=> NADP+ + NADH,"['1.6.1.1', ' 1.6.1.3']",C00005;C00003,C00006;C00004,1.0;1.0,1.0;1.0
R00113,NADPH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O,C00027 + C00005 + C00080 <=> C00006 + 2 C00001,Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O,['1.11.1.2'],C00027;C00005;C00080,C00006;C00001,1.0;1.0;1.0,1.0;2.0
R00114,L-glutamate:NADP+ oxidoreductase (transaminating); 2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+,2 C00025 + C00006 <=> C00064 + C00026 + C00005 + C00080,2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+,['1.4.1.13'],C00025;C00006,C00064;C00026;C00005;C00080,2.0;1.0,1.0;1.0;1.0;1.0
R00115,glutathione:NADP+ oxidoreductase; 2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+,2 C00051 + C00006 <=> C00127 + C00005 + C00080,2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+,['1.8.1.7'],C00051;C00006,C00127;C00005;C00080,2.0;1.0,1.0;1.0;1.0
R00118,NADP+ 2'-phosphohydrolase; NADP+ + H2O <=> Orthophosphate + NAD+,C00006 + C00001 <=> C00009 + C00003,NADP+ + H2O <=> Orthophosphate + NAD+,['3.1.3.108       3.1.3.-'],C00006;C00001,C00009;C00003,1.0;1.0,1.0;1.0
R00119,NADP+:nicotinate ADP-ribosyltransferase; NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate,C00006 + C00253 <=> C00153 + C13051,NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate,['2.4.99.20'],C00006;C00253,C00153;C13051,1.0;1.0,1.0;1.0
R00120,glutathione:oxygen oxidoreductase; Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide,C00007 + 2 C00051 <=> C00127 + C00027,Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide,['1.8.3.3'],C00007;C00051,C00127;C00027,1.0;2.0,1.0;1.0
R00122,ADP phosphohydrolase; ADP + H2O <=> AMP + Orthophosphate,C00008 + C00001 <=> C00020 + C00009,ADP + H2O <=> AMP + Orthophosphate,['3.6.1.5'],C00008;C00001,C00020;C00009,1.0;1.0,1.0;1.0
R00123,ADP aminohydrolase; ADP + H2O <=> IDP + Ammonia,C00008 + C00001 <=> C00104 + C00014,ADP + H2O <=> IDP + Ammonia,"['3.5.4.7', ' 3.5.4.17']",C00008;C00001,C00104;C00014,1.0;1.0,1.0;1.0
R00124,ATP:ADP phosphatransferase; ATP + ADP <=> ADP + ATP,C00002 + C00008 <=> C00008 + C00002,ATP + ADP <=> ADP + ATP,['2.7.4.6'],C00002;C00008,C00008;C00002,1.0;1.0,1.0;1.0
R00125,"P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP",C01260 + C00001 <=> 2 C00008,"P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP",['3.6.1.41'],C01260;C00001,C00008,1.0;1.0,2.0
R00126,"ADP:ATP adenylyltransferase; ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate",C00008 + C00002 <=> C00009 + C01260,"ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate",['2.7.7.53'],C00008;C00002,C00009;C01260,1.0;1.0,1.0;1.0
R00127,ATP:AMP phosphotransferase; ATP + AMP <=> 2 ADP,C00002 + C00020 <=> 2 C00008,ATP + AMP <=> 2 ADP,['2.7.4.3'],C00002;C00020,C00008,1.0;1.0,2.0
R00128,adenosine-tetraphosphate phosphohydrolase; Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate,C03483 + C00001 <=> C00002 + C00009,Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate,['3.6.1.14'],C03483;C00001,C00002;C00009,1.0;1.0,1.0;1.0
R00129,"(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming); ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH",C00002 + C04856 <=> C00008 + C00009 + C00004,"ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH",['4.2.1.93'],C00002;C04856,C00008;C00009;C00004,1.0;1.0,1.0;1.0;1.0
R00130,ATP:dephospho-CoA 3'-phosphotransferase; ATP + Dephospho-CoA <=> ADP + CoA,C00002 + C00882 <=> C00008 + C00010,ATP + Dephospho-CoA <=> ADP + CoA,['2.7.1.24'],C00002;C00882,C00008;C00010,1.0;1.0,1.0;1.0
R00131,urea amidohydrolase; Urea + H2O <=> CO2 + 2 Ammonia,C00086 + C00001 <=> C00011 + 2 C00014,Urea + H2O <=> CO2 + 2 Ammonia,['3.5.1.5'],C00086;C00001,C00011;C00014,1.0;1.0,1.0;2.0
R00132,carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase; Carbonic acid <=> CO2 + H2O,C01353 <=> C00011 + C00001,Carbonic acid <=> CO2 + H2O,['4.2.1.1'],C01353,C00011;C00001,1.0,1.0;1.0
R00134,formate:NADP+ oxidoreductase; Formate + NADP+ <=> CO2 + NADPH + H+,C00058 + C00006 <=> C00011 + C00005 + C00080,Formate + NADP+ <=> CO2 + NADPH + H+,['1.17.1.10'],C00058;C00006,C00011;C00005;C00080,1.0;1.0,1.0;1.0;1.0
R00135,Peptide + H2O <=> L-Proline + Peptide,C00012 + C00001 <=> C00148 + C00012,Peptide + H2O <=> L-Proline + Peptide,['3.4.11.5'],C00012;C00001,C00148;C00012,1.0;1.0,1.0;1.0
R00137,ATP:nicotinamide-nucleotide adenylyltransferase; ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+,C00002 + C00455 <=> C00013 + C00003,ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+,"['2.7.7.1', ' 2.7.7.18']",C00002;C00455,C00013;C00003,1.0;1.0,1.0;1.0
R00138,triphosphate phosphohydrolase; Triphosphate + H2O <=> Diphosphate + Orthophosphate,C00536 + C00001 <=> C00013 + C00009,Triphosphate + H2O <=> Diphosphate + Orthophosphate,['3.6.1.25'],C00536;C00001,C00013;C00009,1.0;1.0,1.0;1.0
R00139,ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP,C11038 + C00002 <=> C11039 + C00008,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP,['2.7.4.6'],C11038;C00002,C11039;C00008,1.0;1.0,1.0;1.0
R00140,ATP:5-hydroxymethyldeoxycytidylate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP,C11038 + C00008 <=> C03997 + C00002,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP,['2.7.4.12'],C11038;C00008,C03997;C00002,1.0;1.0,1.0;1.0
R00141,ATP:ammonia phosphotransferase; ATP + Ammonia <=> ADP + Phosphoramidate,C00002 + C00014 <=> C00008 + C02306,ATP + Ammonia <=> ADP + Phosphoramidate,['2.7.3.8'],C00002;C00014,C00008;C02306,1.0;1.0,1.0;1.0
R00143,ammonia:NAD+ oxidoreductase; NADH:hydroxylamine oxidoreductase; Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+,C00014 + C00003 + C00001 <=> C00192 + C00004 + C00080,Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+,"['1.7.1.10', '1.7.99.1']",C00014;C00003;C00001,C00192;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R00145,alpha-amino acid:NAD+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+,C05167 + C00001 + C00003 <=> C00161 + C00014 + C00004 + C00080,alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+,"['1.4.1.1', ' 1.4.1.2', ' 1.4.1.3', ' 1.4.1.4', ' ']",C05167;C00001;C00003,C00161;C00014;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R00146,alpha-amino acid:NADP+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+,C05167 + C00001 + C00006 <=> C00161 + C00014 + C00005 + C00080,alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+,"['1.4.1.1', ' 1.4.1.2', ' 1.4.1.3', ' 1.4.1.4', ' ']",C05167;C00001;C00006,C00161;C00014;C00005;C00080,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R00148,"ammonia,ubiquinol:oxygen oxidoreductase; ammonia monooxygenase; Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone",C00014 + C00007 + C00390 <=> C00192 + C00001 + C00399,Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone,['1.14.99.39'],C00014;C00007;C00390,C00192;C00001;C00399,1.0;1.0;1.0,1.0;1.0;1.0
R00149,"carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating); 2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate",2 C00002 + C00014 + C00011 + C00001 <=> 2 C00008 + C00009 + C00169,2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate,['6.3.4.16'],C00002;C00014;C00011;C00001,C00008;C00009;C00169,2.0;1.0;1.0;1.0,2.0;1.0;1.0
R00150,ATP:carbamate phosphotransferase; ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O,C00002 + C00014 + C00288 <=> C00008 + C00169 + C00001,ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O,['2.7.2.2'],C00002;C00014;C00288,C00008;C00169;C00001,1.0;1.0;1.0,1.0;1.0;1.0
R00152,hydrogen cyanide aminohydrolase; Hydrogen cyanide + 2 H2O <=> Ammonia + Formate,C01326 + 2 C00001 <=> C00014 + C00058,Hydrogen cyanide + 2 H2O <=> Ammonia + Formate,['3.5.5.-'],C01326;C00001,C00014;C00058,1.0;2.0,1.0;1.0
R00153,reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia,C05361 + 2 C05359 + 2 C00080 <=> 2 C00014,Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia,['1.18.6.1'],C05361;C05359;C00080,C00014,1.0;2.0;2.0,2.0
R00155,UDP phosphohydrolase; UDP + H2O <=> UMP + Orthophosphate,C00015 + C00001 <=> C00105 + C00009,UDP + H2O <=> UMP + Orthophosphate,"['3.6.1.5', ' 3.6.1.6']",C00015;C00001,C00105;C00009,1.0;1.0,1.0;1.0
R00156,ATP:UDP phosphotransferase; ATP + UDP <=> ADP + UTP,C00002 + C00015 <=> C00008 + C00075,ATP + UDP <=> ADP + UTP,['2.7.4.6'],C00002;C00015,C00008;C00075,1.0;1.0,1.0;1.0
R00157,uridine triphosphate:AMP phosphotransferase; UTP:AMP phosphotransferase; UTP + AMP <=> UDP + ADP,C00075 + C00020 <=> C00015 + C00008,UTP + AMP <=> UDP + ADP,['2.7.4.10'],C00075;C00020,C00015;C00008,1.0;1.0,1.0;1.0
R00158,ATP:UMP phosphotransferase; ATP + UMP <=> ADP + UDP,C00002 + C00105 <=> C00008 + C00015,ATP + UMP <=> ADP + UDP,"['2.7.4.4', ' 2.7.4.14', '2.7.4.22']",C00002;C00105,C00008;C00015,1.0;1.0,1.0;1.0
R00159,UTP phosphohydrolase; UTP + H2O <=> UDP + Orthophosphate,C00075 + C00001 <=> C00015 + C00009,UTP + H2O <=> UDP + Orthophosphate,"['3.6.1.5', ' 3.6.1.39']",C00075;C00001,C00015;C00009,1.0;1.0,1.0;1.0
R00160,FAD nucleotidohydrolase; FAD + H2O <=> AMP + FMN,C00016 + C00001 <=> C00020 + C00061,FAD + H2O <=> AMP + FMN,"['3.6.1.9', ' 3.6.1.18']",C00016;C00001,C00020;C00061,1.0;1.0,1.0;1.0
R00161,ATP:FMN adenylyltransferase; ATP + FMN <=> Diphosphate + FAD,C00002 + C00061 <=> C00013 + C00016,ATP + FMN <=> Diphosphate + FAD,['2.7.7.2'],C00002;C00061,C00013;C00016,1.0;1.0,1.0;1.0
R00162,ATP:protein phosphotransferase; ATP:protein phosphotransferase (Ca2+/calmodulin-dependent); ATP + Protein <=> ADP + Phosphoprotein,C00002 + C00017 <=> C00008 + C00562,ATP + Protein <=> ADP + Phosphoprotein,"['2.7.11.1', '2.7.11.8', '2.7.11.9', '2.7.11.10       ']",C00002;C00017,C00008;C00562,1.0;1.0,1.0;1.0
R00164,phosphoprotein phosphohydrolase; Phosphoprotein + H2O <=> Protein + Orthophosphate,C00562 + C00001 <=> C00017 + C00009,Phosphoprotein + H2O <=> Protein + Orthophosphate,['3.1.3.16'],C00562;C00001,C00017;C00009,1.0;1.0,1.0;1.0
R00165,Protein <=> L-Alanyl-tRNA,C00017 <=> C00886,Protein <=> L-Alanyl-tRNA,,C00017,C00886,1.0,1.0
R00166,Protein <=> L-Leucyl-tRNA,C00017 <=> C02047,Protein <=> L-Leucyl-tRNA,,C00017,C02047,1.0,1.0
R00167,L-Arginyl-tRNA(Arg) <=> Protein-L-arginine,C02163 <=> C00613,L-Arginyl-tRNA(Arg) <=> Protein-L-arginine,,C02163,C00613,1.0,1.0
R00168,Protein <=> L-Valyl-tRNA(Val),C00017 <=> C02554,Protein <=> L-Valyl-tRNA(Val),,C00017,C02554,1.0,1.0
R00169,Protein <=> L-Glutamyl-tRNA(Glu),C00017 <=> C02987,Protein <=> L-Glutamyl-tRNA(Glu),,C00017,C02987,1.0,1.0
R00170,Protein <=> L-Isoleucyl-tRNA(Ile),C00017 <=> C03127,Protein <=> L-Isoleucyl-tRNA(Ile),,C00017,C03127,1.0,1.0
R00172,Protein <=> Selenomethionyl-tRNA(Met),C00017 <=> C05336,Protein <=> Selenomethionyl-tRNA(Met),,C00017,C05336,1.0,1.0
R00173,pyridoxal-5'-phosphate phosphohydrolase; Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate,C00018 + C00001 <=> C00250 + C00009,Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate,['3.1.3.74'],C00018;C00001,C00250;C00009,1.0;1.0,1.0;1.0
R00174,ATP:pyridoxal 5'-phosphotransferase; ATP + Pyridoxal <=> ADP + Pyridoxal phosphate,C00002 + C00250 <=> C00008 + C00018,ATP + Pyridoxal <=> ADP + Pyridoxal phosphate,['2.7.1.35'],C00002;C00250,C00008;C00018,1.0;1.0,1.0;1.0
R00177,ATP:L-methionine S-adenosyltransferase; Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O,C00009 + C00013 + C00019 <=> C00002 + C00073 + C00001,Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O,['2.5.1.6'],C00009;C00013;C00019,C00002;C00073;C00001,1.0;1.0;1.0,1.0;1.0;1.0
R00178,S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming]; S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2,C00019 + C00080 <=> C01137 + C00011,S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2,['4.1.1.50'],C00019;C00080,C01137;C00011,1.0;1.0,1.0;1.0
R00179,S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming); S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine,C00019 <=> C01234 + C00170,S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine,['4.4.1.14'],C00019,C01234;C00170,1.0,1.0;1.0
R00181,AMP aminohydrolase; AMP + H2O <=> IMP + Ammonia,C00020 + C00001 <=> C00130 + C00014,AMP + H2O <=> IMP + Ammonia,"['3.5.4.6', ' 3.5.4.17']",C00020;C00001,C00130;C00014,1.0;1.0,1.0;1.0
R00182,AMP phosphoribohydrolase; AMP + H2O <=> Adenine + D-Ribose 5-phosphate,C00020 + C00001 <=> C00147 + C00117,AMP + H2O <=> Adenine + D-Ribose 5-phosphate,['3.2.2.4'],C00020;C00001,C00147;C00117,1.0;1.0,1.0;1.0
R00183,adenosine 5'-monophosphate phosphohydrolase; AMP + H2O <=> Adenosine + Orthophosphate,C00020 + C00001 <=> C00212 + C00009,AMP + H2O <=> Adenosine + Orthophosphate,['3.1.3.5'],C00020;C00001,C00212;C00009,1.0;1.0,1.0;1.0
R00184,"P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP",C01260 + C00001 <=> C00002 + C00020,"P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP","['3.6.1.17', '3.6.1.61']",C01260;C00001,C00002;C00020,1.0;1.0,1.0;1.0
R00185,ATP:adenosine 5'-phosphotransferase; ATP + Adenosine <=> ADP + AMP,C00002 + C00212 <=> C00008 + C00020,ATP + Adenosine <=> ADP + AMP,['2.7.1.20'],C00002;C00212,C00008;C00020,1.0;1.0,1.0;1.0
R00187,"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase; P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP",C06197 + C00001 <=> C00008 + C00020,"P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP",['3.6.1.29'],C06197;C00001,C00008;C00020,1.0;1.0,1.0;1.0
R00188,"adenosine-3',5'-bisphosphate 3'-phosphohydrolase; Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate",C00054 + C00001 <=> C00020 + C00009,"Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate","['3.1.3.7', ' 3.1.3.97']",C00054;C00001,C00020;C00009,1.0;1.0,1.0;1.0
R00189,deamido-NAD+:ammonia ligase (AMP-forming); ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+,C00002 + C00857 + C00014 <=> C00020 + C00013 + C00003,ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+,"['6.3.1.5', ' 6.3.5.1']",C00002;C00857;C00014,C00020;C00013;C00003,1.0;1.0;1.0,1.0;1.0;1.0
R00190,AMP:diphosphate phospho-D-ribosyltransferase; AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate,C00020 + C00013 <=> C00147 + C00119,AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate,['2.4.2.7'],C00020;C00013,C00147;C00119,1.0;1.0,1.0;1.0
R00191,"adenosine 3',5'-phosphate 5'-nucleotidohydrolase; 3',5'-Cyclic AMP + H2O <=> AMP",C00575 + C00001 <=> C00020,"3',5'-Cyclic AMP + H2O <=> AMP","['3.1.4.17', '3.1.4.53']",C00575;C00001,C00020,1.0;1.0,1.0
R00192,S-adenosyl-L-homocysteine hydrolase; S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine,C00021 + C00001 <=> C00212 + C00155,S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine,['3.13.2.1'],C00021;C00001,C00212;C00155,1.0;1.0,1.0;1.0
R00193,S-adenosyl-L-homocysteine aminohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia,C00021 + C00001 <=> C03431 + C00014,S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia,['3.5.4.28'],C00021;C00001,C03431;C00014,1.0;1.0,1.0;1.0
R00194,S-adenosyl-L-homocysteine homocysteinylribohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine,C00021 + C00001 <=> C03539 + C00147,S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine,['3.2.2.9'],C00021;C00001,C03539;C00147,1.0;1.0,1.0;1.0
R00195,"2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming); 2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia",C06393 + C00001 <=> C00022 + 2 C00014,"2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia",['4.3.1.15'],C06393;C00001,C00022;C00014,1.0;1.0,1.0;2.0
R00196,(S)-lactate:ferricytochrome-c 2-oxidoreductase; (S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+,C00186 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080,(S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+,['1.1.2.3'],C00186;C00125,C00022;C00126;C00080,1.0;2.0,1.0;2.0;2.0
